TrainStart TrainEnd WinPlay1 WinPlay2 WinPlay1Rand WinPlay2Rand
0 4999 2433 2477 671 329
5000 9999 2425 2467 775 225
10000 14999 2399 2504 629 371
15000 19999 2389 2461 711 289
20000 24999 2455 2414 840 160
25000 29999 2477 2349 669 331
30000 34999 2453 2382 809 191
35000 39999 2413 2405 878 122
40000 44999 2495 2386 860 140
45000 49999 2453 2409 863 137
0 49999 24392 24255 7705 2295
