TrainStart TrainEnd WinPlay1 WinPlay2 WinPlay1Rand WinPlay2Rand avgTrainGameLength avgRandGameLength
80Nodes_07Exp_05Learn 1000Nodes_07Exp_05Learn
0 999 499 500 0 0 23 0
1000 1999 458 534 0 0 18 0
2000 2999 529 463 0 0 18 0
3000 3999 424 568 0 0 20 0
4000 4999 473 523 0 0 18 0
5000 5999 548 445 0 0 17 0
6000 6999 499 501 0 0 14 0
7000 7999 477 515 0 0 19 0
8000 8999 418 573 0 0 19 0
9000 9999 467 527 0 0 16 0
