TrainStart TrainEnd WinPlay1 WinPlay2 WinPlay1Rand WinPlay2Rand avgTrainGameLength avgRandGameLength
250Nodes_07Exp_05Learn 1000Nodes_07Exp_05Learn
0 999 999 0 0 0 12 0
1000 1999 498 495 0 0 16 0
2000 2999 482 508 0 0 18 0
3000 3999 415 580 0 0 18 0
4000 4999 535 462 0 0 18 0
5000 5999 406 586 0 0 18 0
6000 6999 420 572 0 0 19 0
7000 7999 437 556 0 0 18 0
8000 8999 428 564 0 0 18 0
9000 9999 403 591 0 0 18 0
