TrainStart TrainEnd WinPlay1 WinPlay2 WinPlay1Rand WinPlay2Rand avgTrainGameLength avgRandGameLength
80Nodes_07Exp_05Learn 250Nodes_07Exp_01Learn
0 999 0 999 0 0 10 0
1000 1999 348 644 0 0 17 0
2000 2999 365 629 0 0 18 0
3000 3999 342 656 0 0 16 0
4000 4999 308 686 0 0 17 0
5000 5999 317 676 0 0 18 0
6000 6999 364 633 0 0 18 0
7000 7999 331 661 0 0 18 0
8000 8999 307 690 0 0 18 0
9000 9999 401 596 0 0 20 0
0 9999 3083 6871 0 0 17 0
