TrainStart TrainEnd WinPlay1 WinPlay2 WinPlay1Rand WinPlay2Rand
0 4999 2416 2503 820 180
5000 9999 2468 2466 734 266
10000 14999 2457 2492 904 96
15000 19999 2501 2466 886 114
20000 24999 2446 2508 909 91
25000 29999 2456 2491 934 66
30000 34999 2490 2463 960 40
35000 39999 2467 2507 917 83
40000 44999 2471 2478 960 40
45000 49999 2491 2459 946 54
0 49999 24663 24834 8970 1030
