TrainStart TrainEnd WinPlay1 WinPlay2 WinPlay1Rand WinPlay2Rand avgTrainGameLength avgRandGameLength
LearnPlayer only
0 4999 2451 2482 831 169 19 3
5000 9999 2457 2517 856 144 19 3
10000 14999 2506 2460 913 87 19 2
15000 19999 2482 2457 929 71 20 2
20000 24999 2432 2520 915 85 21 3
25000 29999 2425 2524 926 74 21 2
30000 34999 2458 2485 975 25 21 2
35000 39999 2498 2446 916 84 21 3
40000 44999 2456 2488 918 82 22 2
